Hospital,Official,Identified
深圳市人民医院,533165,520587.5
北京大学深圳医院,418018,356882.5
深圳市儿童医院,363008,311495
华中科技大学协和深圳医院,305424,250480
深圳市妇幼保健院,295389,229740
深圳市宝安区妇幼保健院,289501,260295
香港大学深圳医院,256158,232472.5
南方医科大学深圳医院,254623,197070
深圳市第三人民医院,249795,177830
中国科学院大学深圳医院（光明）,248047,105392.5
深圳市龙华区人民医院,245931,237017.5
深圳市罗湖区人民医院,243170,156580
深圳市龙岗中心医院,234059,156970
深圳市宝安区中医院,201540,147450
深圳市宝安区人民医院,196875,161485
深圳市第二人民医院,189092,270437.5
深圳市中西医结合医院,188944,209142.5
深圳市龙华区中心医院,171597,133755
深圳市龙岗区人民医院,165199,152122.5
广州中医药大学深圳医院（福田）,163680,111280
中山大学附属第八医院（深圳福田）,158358,117402.5
深圳市康宁医院,148600,57075
深圳大学总医院,122772,109710
北京中医药大学深圳医院（龙岗区中医院）,120693,124130
深圳市眼科医院,107156,91145
深圳市平乐骨伤科医院,106943,12207.5
深圳市龙岗区妇幼保健院,106430,127735
中山大学附属第七医院（深圳）,106253,92740
深圳市罗湖区中医院,72503,61972.5
中国医学科学院阜外医院深圳医院,33307,52482.5
中国医学科学院肿瘤医院深圳医院,32037,77580
