PrimayAccess,GID
9893.233937553157,540202
1.6482015088164108e-17,540221
9905.316823765785,540222
9901.50069619927,540223
1.372632560956435e-11,540224
9901.517167953147,540225
3.0849524323657886e-70,540226
5.4293869838121815e-45,540227
5.994731339653563e-07,540228
7.267911441388503e-09,540229
2.2158179428813303e-06,540230
1.1733919315555647e-35,540231
0.0,540232
9.422644290951131e-62,540233
2.4217262099121e-110,540234
4.99600874027705e-31,540235
8.560892932947413e-173,540236
1.4331397740920937e-20,540237
