City,District,Bypass rate
Beijing,延庆区,0.998676198
Beijing,密云区,0.992189051
Beijing,门头沟区,0.947171413
Beijing,东城区,0.933232391
Beijing,西城区,0.887043958
Beijing,朝阳区,0.878818157
Beijing,昌平区,0.876597862
Beijing,海淀区,0.862828903
Beijing,丰台区,0.849458014
Beijing,石景山区,0.842802468
Beijing,顺义区,0.827620682
Beijing,通州区,0.823521506
Beijing,大兴区,0.797536853
Beijing,房山区,0.676977339
Beijing,怀柔区,0.595378609
Beijing,平谷区,0.328527076
Chengdu,青羊区,0.956787954
Chengdu,彭州市,0.953860107
Chengdu,都江堰市,0.94969608
Chengdu,温江区,0.947339434
Chengdu,蒲江县,0.939542484
Chengdu,锦江区,0.917079922
Chengdu,成华区,0.874593507
Chengdu,新都区,0.872841734
Chengdu,金牛区,0.831282216
Chengdu,武侯区,0.821977952
Chengdu,崇州市,0.812075249
Chengdu,双流区,0.809669841
Chengdu,邛崃市,0.799967969
Chengdu,青白江区,0.788465639
Chengdu,龙泉驿区,0.782741215
Chengdu,郫都区,0.764809802
Chengdu,简阳市,0.566711181
Chengdu,新津区,0.48076656
Chengdu,金堂县,0.4136688
Chengdu,大邑县,0.41222998
Guangzhou,越秀区,0.891302425
Guangzhou,荔湾区,0.883722356
Guangzhou,白云区,0.880164841
Guangzhou,天河区,0.865138184
Guangzhou,海珠区,0.856127436
Guangzhou,花都区,0.767218432
Guangzhou,黄埔区,0.759538185
Guangzhou,番禺区,0.754031798
Guangzhou,增城区,0.66105934
Guangzhou,从化区,0.598919073
Guangzhou,南沙区,0.586153566
Guangzhou,乐都区,0.115830116
Haidong,化隆回族自治县,0.223684211
Haidong,互助土族自治县,0.127672209
Haidong,平安区,0.092326139
Haidong,民和回族土族自治县,0.011583825
Haidong,循化撒拉族自治县,0.005736138
Pu’er,西盟佤族自治县,0.944785276
Pu’er,思茅区,0.738602086
Pu’er,镇沅彝族哈尼族拉祜族自治县,0.510570825
Pu’er,宁洱哈尼族彝族自治县,0.407471764
Pu’er,澜沧拉祜族自治县,0.346590909
Pu’er,孟连傣族拉祜族佤族自治县,0.281238481
Pu’er,景谷傣族彝族自治县,0.250334672
Pu’er,江城哈尼族彝族自治县,0.231285988
Pu’er,墨江哈尼族自治县,0.195320808
Pu’er,景东彝族自治县,0.073265137
Qiqihar,依安县,0.983023444
Qiqihar,克山县,0.976978417
Qiqihar,梅里斯达斡尔族区,0.919146184
Qiqihar,建华区,0.870780833
Qiqihar,铁锋区,0.823714586
Qiqihar,龙沙区,0.781090464
Qiqihar,富拉尔基区,0.755508311
Qiqihar,昂昂溪区,0.728922092
Qiqihar,讷河市,0.657868772
Qiqihar,甘南县,0.545491143
Qiqihar,泰来县,0.493902439
Qiqihar,富裕县,0.464564732
Qiqihar,龙江县,0.440944882
Qiqihar,碾子山区,0.291231733
Qiqihar,克东县,0.152352941
Qiqihar,拜泉县,0.146458583
Shigatse,吉隆县,0.848484848
Shigatse,昂仁县,0.835294118
Shigatse,萨嘎县,0.823529412
Shigatse,白朗县,0.751091703
Shigatse,南木林县,0.749019608
Shigatse,仲巴县,0.731707317
Shigatse,萨迦县,0.664835165
Shigatse,聂拉木县,0.636363636
Shigatse,定结县,0.382352941
Shigatse,拉孜县,0.382352941
Shigatse,谢通门县,0.311688312
Shigatse,桑珠孜区,0.235019455
Shigatse,岗巴县,0.2
Shigatse,定日县,0.16011236
Shigatse,亚东县,0.132075472
Shigatse,仁布县,0.119047619
Shigatse,康马县,0.083333333
Shigatse,江孜县,0.021956088
Shanghai,崇明区,0.988070228
Shanghai,长宁区,0.909545053
Shanghai,静安区,0.907123535
Shanghai,徐汇区,0.902877811
Shanghai,黄浦区,0.89026648
Shanghai,虹口区,0.874458351
Shanghai,普陀区,0.854107556
Shanghai,宝山区,0.84037078
Shanghai,青浦区,0.840141771
Shanghai,浦东新区,0.801399095
Shanghai,嘉定区,0.790882927
Shanghai,闵行区,0.772605498
Shanghai,杨浦区,0.730228462
Shanghai,松江区,0.723903902
Shanghai,金山区,0.692309395
Shanghai,奉贤区,0.631207646
Shenzhen,龙华区,0.894709233
Shenzhen,福田区,0.860955817
Shenzhen,罗湖区,0.836095327
Shenzhen,龙岗区,0.831211533
Shenzhen,宝安区,0.763846784
Shenzhen,坪山区,0.761395787
Shenzhen,南山区,0.731051642
Shenzhen,光明区,0.71617777
Shenzhen,盐田区,0.591184834
Turpan,托克逊县,0.438823901
Turpan,鄯善县,0.168725361
Turpan,高昌区,0.04639412
Wuhan,洪山区,0.895929727
Wuhan,武昌区,0.877669919
Wuhan,江汉区,0.877586978
Wuhan,青山区,0.870805066
Wuhan,江岸区,0.867881941
Wuhan,新洲区,0.867229803
Wuhan,汉阳区,0.867115239
Wuhan,东西湖区,0.823187947
Wuhan,硚口区,0.798553393
Wuhan,黄陂区,0.784523852
Wuhan,江夏区,0.7186691
Wuhan,蔡甸区,0.678457918
Wuhan,汉南区,0.642440074
