distance_group,HousePrice,Weight
0.5,3874.6663956389166,4651
1.0,3788.840451121931,10930
1.5,3683.8830786748995,11462
2.0,3456.870031356669,8172
2.5,3590.363726118024,5809
3.0,3545.346629670796,3568
3.5,3922.5230883023746,2274
4.0,3692.694438235761,920
4.5,2990.1980225977013,522
5.0,3627.229021953696,460
5.5,3020.3829729466124,369
6.0,3136.402563482769,325
6.5,2566.665205225131,191
7.0,2792.374826079646,113
7.5,2522.99475188806,134
8.0,2291.871075136323,223
8.5,2240.4793784593526,278
9.0,2615.9263931055552,162
9.5,2279.507508813008,123
10.0,2284.9192959128,125
10.5,2533.264032364844,128
11.0,3121.297252539175,97
11.5,2468.1397186956838,139
12.0,2564.66015625,52
12.5,2549.0965243767328,202
13.0,2771.520895969663,89
13.5,2713.9516504409094,176
14.0,2441.1252869707605,171
14.5,2521.3582824650002,140
15.0,2453.322663296907,97
15.5,2964.6209944107845,102
16.0,2685.0986938341666,120
16.5,2876.547425438037,163
17.0,2820.139157313372,172
17.5,2209.162048966553,293
18.0,2710.4685673913227,242
18.5,2826.815763587647,170
19.0,2398.176996746307,352
19.5,2876.823795730693,101
20.0,2750.4119750929412,170
20.5,2830.023966888601,193
21.0,2470.8581387788136,118
21.5,2351.802904217391,69
22.0,2520.8965647923533,170
22.5,2358.775435211377,167
23.0,2311.442018138365,159
23.5,2236.8127488816667,180
24.0,2444.663112991626,203
24.5,2462.4279427575757,198
25.0,2514.7478530866665,240
25.5,2534.278804007519,133
26.0,2766.2427873437086,151
26.5,2589.3604720783437,157
27.0,2366.380929985294,102
27.5,2695.887009450232,215
28.0,2434.7731404812835,187
28.5,2465.9000194680148,272
29.0,2435.8533540115263,321
29.5,2183.9277814032785,122
30.0,2396.5073603700002,260
30.5,2334.602549860366,328
31.0,2593.8125926251255,199
31.5,2428.1084246652895,121
32.0,2462.006458505747,87
32.5,2639.562006556338,71
33.0,2658.176771713924,79
33.5,2490.9645871170455,88
34.0,2536.6954324150443,113
34.5,2860.864111221005,219
35.0,3008.2317983994626,186
35.5,2475.2559197347987,273
36.0,2736.9169033105263,114
36.5,2454.7797249083333,312
37.0,2421.870972536111,144
37.5,2563.272097970773,414
38.0,2434.945083526627,338
38.5,2704.7200090614865,296
39.0,2452.1991590049297,284
39.5,2380.266229144915,118
40.0,2319.851653589231,130
40.5,2126.9639377879516,83
41.0,2313.945660127152,151
41.5,2472.145656920134,149
42.0,2747.768996584,50
42.5,2606.0268590874075,135
43.0,2354.739596237398,123
43.5,2152.3585367813334,75
44.0,2450.1390951299063,107
44.5,2423.333512929655,145
45.0,2624.568446876106,113
45.5,2238.175184451852,81
46.0,2472.2391616272726,66
46.5,2495.10000246422,109
47.0,2501.955240222131,122
47.5,2729.954060861111,54
48.0,2750.5113351116074,112
48.5,2685.9250130902437,41
49.0,2957.820405338028,71
49.5,2672.1862046902775,72
50.0,2553.0845598571427,14
50.5,2527.742103982895,76
51.0,2601.11700937449,98
51.5,2691.8540834,43
52.0,2472.4056063545454,33
