distance_group,HousePrice,Weight
1,76071.44465053511,28906
2,76932.91555658028,96681
3,75852.28468845454,154592
4,74589.66542884574,155866
5,73230.93354785905,142428
6,70552.17836673223,139114
7,71326.1676752175,114237
8,71339.804459639,100527
9,72845.44486714785,89778
10,69142.29101484558,81463
11,69007.21932305722,76045
12,67639.1631201943,70932
13,65056.051150278654,64607
14,64916.53805058277,62436
15,62166.71149256239,57743
16,61413.52396090497,54194
17,60402.94569435774,50928
18,58150.9185681395,46359
19,56276.87608392976,43562
20,54229.43824322253,41012
21,52426.63290654973,38485
22,52639.62938443665,35390
23,50884.23515467764,32928
24,49132.51091493963,32068
25,47843.361907350954,29568
26,46225.90842796996,27082
27,45280.15513803103,23722
28,45712.14607537823,22336
29,45198.159251571786,20011
30,43251.42392664359,19700
31,41779.76385655009,18821
32,41064.559329977994,17795
33,40350.48117964333,15618
34,40151.42373312626,15027
35,39956.409052531504,13675
36,39458.40822344212,13026
37,37788.361976041895,12022
38,35913.03673152817,10975
39,35688.111307634565,10485
40,35930.51920119358,8871
41,35313.412200451945,8267
42,35070.937456177315,8076
43,34490.57847359301,7407
44,33708.712559091575,6779
45,32061.265658435448,5964
46,32370.957244250665,5355
47,31543.148021933805,4863
48,31446.629425823383,4494
49,30848.033069079254,4632
50,29797.252858034088,4075
51,28855.82226593257,3804
52,27798.124639704376,3838
53,28948.982475385572,3431
54,28035.403349952212,3143
55,28632.322169793708,2782
56,27693.031020984818,2463
57,28348.13939758488,2328
58,26887.731909269096,2168
59,26653.462360173362,1922
60,26872.42094579654,1794
61,27525.170748807635,1847
62,26732.587332889925,1856
63,25910.166219691597,1785
64,25635.941749540787,1964
65,25134.19282206588,1952
66,24512.97395619439,1978
67,24957.21522357509,2188
68,25025.470656283258,2043
69,24679.23618874215,2242
70,24912.76442114195,2522
71,25180.753568639062,2450
72,25857.37224156643,2127
73,25908.886151945782,1909
74,25354.517122325364,1849
75,27117.283410895765,1819
76,26041.41904843643,1894
77,26166.904896179465,1724
78,27421.810310358338,1697
79,27632.543521960797,1301
80,27097.302317866026,1245
81,26747.90595990262,1259
82,25958.166758696443,1238
83,26920.249855342347,1176
84,27005.421535733687,1042
85,25452.895179068688,808
86,26747.550976269365,666
87,26745.40131941739,552
88,25628.696519195284,488
89,25906.717311669006,442
90,29106.530230181354,429
91,25460.339952256323,261
92,25257.321321212345,243
93,26241.60044759083,240
94,26169.76220229175,206
95,24832.054792132738,168
96,24034.211151741325,196
97,23385.281290686667,120
98,21612.262227208266,121
99,21942.132032888236,119
100,22541.20071023182,110
101,22301.509814107092,141
102,22278.679881430497,141
103,22301.85769105577,156
104,20774.574333644116,102
105,20447.47298971463,82
106,19214.157357564633,82
107,18536.84472656104,77
108,18131.18097956923,65
109,19590.48937988375,80
110,16744.676556754413,68
111,18410.011253719047,63
112,17435.280543540426,47
113,17848.084016933335,60
114,18235.875339676088,46
115,17838.521885460716,56
116,17791.955597570213,47
117,16723.3305199,42
118,16588.44509548889,36
119,18035.74207031,50
120,19212.76898341951,41
121,19955.453192341378,58
122,16998.273493302855,35
123,16652.484781891664,48
124,17216.676519619512,41
125,16493.548683455556,27
126,16283.164444643478,23
127,17579.06573485625,32
128,16718.518085932,25
129,17218.989619492593,27
130,17798.918684893335,15
131,17491.04569285263,19
132,16346.162828926315,19
133,14159.4991455,24
134,17210.095754510527,19
135,17103.755403646668,15
136,15401.060492616667,18
137,15735.08574218,5
138,15438.892334,8
139,16050.189550779998,10
140,16850.0527344,2
141,16276.72698102857,7
142,16700.53727215,6
143,16958.6113281,1
144,16835.30371095,2
145,16169.622314475,4
146,16109.73046874,5
147,14880.702473966667,3
148,16147.90625,1
149,16151.1132812,2
150,17473.3203125,3
151,16164.5039062,1
153,15813.0595703,1
154,13449.4296875,1
155,17136.886067733332,3
157,15453.7910156,2
158,16100.351562475,4
159,14701.6171875,2
160,18690.1015625,1
162,17577.88476565,2
164,15661.6435547,1
171,13327.2890625,1
172,13326.0458984,1
