distance_group,HousePrice,Weight
1,64827.95057764727,44129
2,63197.13261137826,120059
3,61368.71146017693,131923
4,59381.45503341023,117717
5,56488.82815347016,108635
6,55659.193537717525,103870
7,55217.18477196874,99968
8,55551.4516038058,89684
9,54766.87913257301,81366
10,54333.820404714876,75730
11,54071.97468904345,68325
12,52573.52176298662,66674
13,51869.04382586431,58660
14,51512.8459504764,51945
15,50903.59176477453,46911
16,49842.55039975488,42359
17,49136.80347743681,40603
18,49148.2214154974,35179
19,48601.44394678949,31208
20,46221.92792334334,28630
21,44913.70279999005,27418
22,44468.90860389168,24574
23,42624.64198757665,25501
24,41896.60067171683,21938
25,41455.79565046376,20217
26,40902.286169171726,18774
27,39780.44417591073,17502
28,39141.95554527237,16049
29,37754.34879711368,14744
30,37133.52507257441,13343
31,37370.69850834611,11780
32,36360.0106763222,12143
33,35436.62383261699,11564
34,35171.34136164276,11165
35,34098.077706111864,11382
36,33038.56043061323,9994
37,33195.667075538826,9251
38,31488.170832841643,8876
39,32053.108491041043,8177
40,31953.100239443793,6944
41,31323.289949314603,6211
42,31150.754015664294,5764
43,29999.272518926085,5325
44,29587.275200611715,4865
45,29400.41207109517,4347
46,28868.231479685273,3898
47,29133.215061882616,3492
48,28240.35581914388,3277
49,29224.818801517962,2995
50,27887.380203410918,2711
51,26368.561044558464,2711
52,25375.714174007277,2750
53,24624.882661800155,2583
54,25112.968673121475,2007
55,24442.015699749776,2025
56,25606.76493744028,1872
57,24718.749316814003,1914
58,24597.444210302565,1951
59,24859.21185501244,1849
60,24686.22882854772,2041
61,23709.987573018578,2180
62,23715.70080784005,2020
63,24049.01020158995,1960
64,24882.450830544545,1787
65,27214.906851018844,1645
66,26454.51884528412,1398
67,28175.07562970166,1205
68,26282.76343868004,1062
69,28010.055170283602,799
70,25537.072883449524,735
71,28086.186674301993,602
72,25900.763114258298,669
73,28279.584508182066,591
74,24806.81275373428,458
75,27905.95380329231,442
76,24572.610257846773,496
77,24793.391968959222,412
78,25122.864686603218,435
79,24661.828348380648,341
80,22831.488242449337,302
81,23575.626766432353,340
82,21108.01272396,375
83,22231.45343338655,342
84,22727.022615422033,354
85,20513.702491204967,302
86,19360.796296095843,361
87,19123.842499259623,317
88,19967.423566492835,321
89,18990.69274490899,267
90,18141.464294429075,368
91,17543.170817711467,375
92,18233.184705603275,397
93,17648.29921706877,349
94,17920.045480670844,367
95,17175.389231510602,349
96,17437.747864205754,278
97,17103.907517337077,178
98,17508.582080349723,179
99,15875.128525149594,123
100,16866.69484746803,147
101,16028.615194106187,97
102,14880.600889756566,99
103,13915.474381087011,77
104,14807.424076144445,63
105,13047.811168746226,106
106,13095.078954160379,53
107,12220.404661370423,71
108,11557.060588968965,58
109,11106.423050857142,49
110,10892.029162837254,51
111,11367.580109619355,31
112,10043.286666865624,32
113,10392.0973266575,40
114,10152.5805963,49
115,9329.332327169697,33
116,10158.944878492593,27
117,10670.454551289475,38
118,8985.614196774999,24
119,11798.138997388889,18
120,11229.615148199999,17
121,11753.1538289375,24
122,10891.079950739131,23
123,12880.212949204,25
124,13143.482259114813,27
125,13971.612044273332,15
126,13108.471679690907,11
127,11776.73791504375,16
128,15374.143377127273,11
129,11731.934779557141,7
130,12052.0683594,1
132,9496.196940066666,3
133,7988.2763672,1
134,11577.921875,1
135,14193.40625,1
140,9695.4580078,1
141,9470.656738275,4
142,9259.26220705,2
145,9902.2753906,1
146,9231.7988281,1
147,10400.9072266,1
148,10512.0087891,1
149,6196.5048828,1
151,7183.6572266,1
152,16660.3769531,1
153,6988.8071289,1
155,15341.3408203,1
