NNHI,HousePrice,Weight
1,54482.11191691853,268066
2,54825.604404640624,170847
3,55793.69995236425,117862
4,55535.322712912326,81665
5,55098.84401636131,60971
6,55784.14227040733,45613
7,57706.5306943813,43638
8,57434.449339342194,31184
9,56305.0188895023,25848
10,55852.10363907254,21739
11,56716.630137913926,21913
12,58181.67291418155,19176
13,58980.60310113584,17596
14,59377.54088192027,14745
15,59708.48671911156,14027
16,58686.153125869736,13485
17,58965.627048254624,14491
18,57639.095260009875,11907
19,58448.70714073441,12748
20,57326.446837547664,15665
21,61074.35667688842,14101
22,56666.09096977784,11621
23,54249.64747840969,8753
24,55261.5633870246,9491
25,58083.399696879045,8629
26,57580.884965712976,8508
27,59914.00517914988,9392
28,58231.66496623376,9421
29,56060.11443836515,7199
30,54775.17602089669,7097
31,55868.5423134495,6541
32,55231.46954187895,6469
33,53586.60028837655,6869
34,53702.0815907591,7152
35,58151.90920790923,6630
36,55172.968374328106,6191
37,52303.357202683015,6175
38,55974.753016740906,5683
39,52739.223841775274,6181
40,54349.585693359884,6232
41,52432.29574382185,6047
42,53600.56264845826,7149
43,56162.63727930258,6209
44,51885.39221488044,6891
45,52636.11727433165,6676
46,54059.28914963281,5940
47,52686.270911840205,5684
48,50050.75451239453,7897
49,51971.22900336741,4525
50,52272.405615763106,4998
51,51504.44818658836,5111
52,51640.63291797117,4474
53,50463.588716163824,4022
54,51884.90814340163,3303
55,53212.939767483214,3027
56,51884.35614420144,3334
57,54744.7236863313,3102
58,50839.33299802101,4169
59,48803.27669552648,4901
60,49666.101104226655,3632
61,48565.268973714505,3129
62,52930.01778741099,2949
63,50281.02989222363,3072
64,50245.76196985974,4183
65,49558.91518699112,3718
66,51284.707054673156,2585
67,52515.47502239372,2948
68,48751.06974906403,3689
69,48332.5610050211,3905
70,51871.41213259124,2524
71,51575.61615240864,2753
72,49623.522709345394,2060
73,53372.56116868113,1394
74,53589.26120917841,1399
75,50468.941942010686,1413
76,49372.20806124489,1517
77,53453.11319123787,1814
78,51221.4844464286,1668
79,55082.3669781484,1405
80,56490.28103937993,1480
81,50272.97888318166,1761
82,61767.801663996564,2009
83,60097.64047570806,2122
84,47068.18957427697,1064
85,46228.34788115576,660
86,50620.673355305946,1497
87,64893.29892376903,1311
88,57755.58010837431,1343
89,69690.48125576899,474
90,52833.6874428924,342
91,51371.962727867,300
92,56838.43286965181,745
93,61334.378363187934,779
94,55304.99854790431,835
95,50043.729089998946,946
96,51698.86002121872,486
97,45323.523023825466,644
