NNHI_,Total,prestigious
1,1645356,131325
2,903747,91849
3,643511,80350
4,451373,71195
5,330190,70589
6,288531,65408
7,249367,49709
8,211667,50926
9,172077,41086
10,157490,45170
11,153404,52952
12,144729,45366
13,131134,37304
14,127473,36425
15,120392,40426
16,115096,42429
17,114170,41407
18,103940,32540
19,99626,30681
20,98094,30015
21,93163,30225
22,87809,28644
23,82842,25979
24,82956,28076
25,80608,28099
26,83915,33647
27,81285,30120
28,83503,33246
29,75328,30233
30,74577,30473
31,72639,28143
32,70046,27966
33,69849,26531
34,68341,26401
35,67754,28083
36,64187,25385
37,61998,22336
38,57214,20994
39,54957,16230
40,53970,15960
41,54874,18097
42,54352,19130
43,52977,18063
44,50074,14755
45,51390,15431
46,49181,15118
47,46096,13180
48,47482,13818
49,42662,12787
50,43804,13436
51,38570,11034
52,37679,9764
53,33825,8146
54,34100,7637
55,32642,7378
56,32516,6806
57,30733,7013
58,31303,8781
59,31572,8984
60,29519,8212
61,27155,7167
62,26564,6808
63,26091,6131
64,28759,5562
65,22861,4411
66,20580,3415
67,19916,3283
68,18863,3305
69,19535,4804
70,18595,3550
71,17206,2095
72,15494,1637
73,14318,1624
74,13737,1057
75,14183,1497
76,12885,1101
77,12999,1471
78,12308,932
79,10882,1068
80,11640,1219
81,12310,805
82,10983,669
83,11004,494
84,8482,507
85,8252,584
86,8442,329
87,8963,539
88,8175,568
89,7056,1074
90,6599,579
91,5523,195
92,6222,192
93,6430,105
94,6363,99
95,5259,138
96,4509,174
97,5998,361
98,4232,323
99,3077,235
100,6037,473
101,3331,224
102,2331,129
103,2039,157
104,1242,2
105,1202,0
106,1452,0
107,1593,0
108,1417,0
109,2860,0
