distance_,Total,sanjia
0.5,1887557,668325
1,300043,140191
1.5,294419,155277
2,317562,176231
2.5,318139,173150
3,287564,163685
3.5,289919,152961
4,257000,140632
4.5,229775,134769
5,216735,120599
5.5,198503,121721
6,188960,119812
6.5,184690,118601
7,179225,115649
7.5,160749,99450
8,142938,93496
8.5,140031,90809
9,130293,84210
9.5,122634,75325
10,113532,72565
10.5,108262,71154
11,104039,64936
11.5,100924,66476
12,103821,67805
12.5,102626,65232
13,91893,59747
13.5,89377,55429
14,87618,54207
14.5,82470,53455
15,80446,51061
15.5,75233,49453
16,71208,46223
16.5,67597,43103
17,63779,39798
17.5,59105,37842
18,61282,40874
18.5,57571,36221
19,56520,37155
19.5,54618,35933
20,50919,31909
20.5,48052,31520
21,44271,26984
21.5,43491,27005
22,41954,25758
22.5,39487,24715
23,35237,22156
23.5,39124,24515
24,33874,20858
24.5,32323,19940
25,32948,20650
25.5,31900,20118
26,29985,18111
26.5,29483,17914
27,28946,17459
27.5,27586,16841
28,26464,16276
28.5,25216,16028
29,25032,14974
29.5,25363,16444
30,23574,13253
30.5,20494,12641
31,20278,12998
31.5,20833,13299
32,21328,13626
32.5,20322,12487
33,20484,13940
33.5,19261,12111
34,20773,13707
34.5,16504,10796
35,16666,10575
35.5,14221,8681
36,15237,9781
36.5,13351,8133
37,12784,7875
37.5,12119,7221
38,12140,7636
38.5,11618,7641
39,11190,7282
39.5,10183,5732
40,9280,5686
40.5,9500,5675
41,8268,5051
41.5,8410,4898
42,7634,4500
42.5,6959,4023
43,6597,4171
43.5,6086,3787
44,6417,3979
44.5,5420,3057
45,5588,3282
45.5,5523,3446
46,6240,3829
46.5,5586,3382
47,4965,2797
47.5,4902,3005
48,4615,2715
48.5,4988,2726
49,4413,2793
49.5,4622,2776
50,4344,2608
50.5,4074,2369
51,4766,2829
51.5,3776,2336
52,3911,2341
52.5,3710,2329
53,3989,2511
53.5,3444,2198
54,3215,2118
54.5,2762,1761
55,3106,2110
55.5,3221,2272
56,2680,1752
56.5,3090,2068
57,2892,1742
57.5,2916,1886
58,2949,1915
58.5,2769,1716
59,2565,1562
59.5,2588,1667
60,2745,1669
60.5,2949,1847
61,2856,1738
61.5,2778,1503
62,2435,1468
62.5,2552,1666
63,2397,1535
63.5,2685,1750
64,2510,1544
64.5,2575,1484
65,2193,1271
65.5,1886,1161
66,1880,1131
66.5,1884,1143
67,1899,1300
67.5,2096,1483
68,1792,1174
68.5,1427,875
69,2144,1560
69.5,1251,785
70,1002,478
70.5,1061,642
71,1164,655
71.5,984,602
72,969,559
72.5,759,387
73,814,488
73.5,943,548
74,737,340
74.5,677,314
75,684,318
75.5,577,296
76,573,369
76.5,943,740
77,909,667
77.5,454,245
78,389,177
78.5,420,205
79,414,217
79.5,427,250
80,438,282
80.5,388,226
81,353,236
81.5,372,216
82,373,238
82.5,338,176
83,379,224
83.5,307,183
84,290,154
84.5,319,175
85,256,119
85.5,166,95
86,128,35
86.5,176,103
87,184,98
87.5,173,83
88,183,67
88.5,120,35
89,127,64
89.5,102,36
90,164,51
90.5,109,23
91,89,22
91.5,39,5
92,67,28
92.5,51,18
93,96,18
93.5,32,10
94,40,22
94.5,37,6
95,39,25
95.5,44,24
96,60,25
96.5,73,27
97,55,31
