bypass,Total,shengyu
0,43431,605
1,0,0
2,40,39
3,159,0
4,139,2
5,199,3
6,408,6
7,488,5
8,1256,85
9,1313,44
10,1476,338
11,1981,56
12,3362,149
13,1887,73
14,4024,175
15,2691,243
16,2577,231
17,6691,353
18,4740,289
19,6376,634
20,10556,1064
21,6407,630
22,9507,612
23,7011,620
24,8544,860
25,18757,1286
26,8604,1158
27,12385,1142
28,8196,902
29,17398,1754
30,14176,1285
31,14445,1686
32,13754,1814
33,35706,4123
34,14948,1921
35,19746,2080
36,18414,2800
37,16890,1930
38,30741,3626
39,22742,2835
40,36897,3873
41,27285,3790
42,31187,3845
43,34359,4410
44,36477,4654
45,36518,5157
46,39010,5221
47,39983,5014
48,41674,6527
49,41464,6062
50,100877,13594
51,45029,6774
52,53674,8014
53,60329,9376
54,56407,9483
55,67736,10850
56,72974,12552
57,78808,13317
58,73955,12200
59,72922,13945
60,93788,17743
61,82998,16148
62,103998,18702
63,85104,18304
64,89208,16586
65,91590,18242
66,86016,18758
67,121365,23121
68,84002,17128
69,91077,18686
70,88813,18507
71,105572,22196
72,91991,19607
73,90436,19597
74,87571,17562
75,114877,25331
76,90908,19524
77,90730,18830
78,100709,20345
79,99542,21864
80,106959,23144
81,95650,20791
82,105387,23580
83,112283,25016
84,99924,22987
85,98269,23505
86,120542,27275
87,107921,26647
88,135181,31545
89,126700,29014
90,128167,29727
91,128198,30388
92,157192,38434
93,160841,37419
94,178427,43213
95,200537,47516
96,244057,57623
97,294406,69651
98,401529,93716
99,572847,137732
100,2174571,510765
