distance_group,HousePrice,Weight
0.5,84517.80979617589,63394
1.0,81750.65523106711,136424
1.5,80371.98068285648,200036
2.0,80013.98430589815,226157
2.5,72703.7674148272,224206
3.0,66702.39766130634,209902
3.5,63953.88583734557,191736
4.0,60378.436826252575,147306
4.5,58039.30126952123,112356
5.0,55826.16960209012,94986
5.5,52573.2968351566,83189
6.0,53318.45452149112,68471
6.5,47255.14988211346,51508
7.0,47232.59066984647,49495
7.5,48317.47659327258,42207
8.0,43972.739486991144,36531
8.5,40674.933464195754,35716
9.0,40167.44606222833,25930
9.5,36289.52913387163,19597
10.0,34528.95232700558,16866
10.5,36761.8665416175,16083
11.0,33043.99971123926,14921
11.5,32823.324555020256,14808
12.0,30475.734795338827,11628
12.5,30254.60519875138,10442
13.0,30431.89581041385,8707
13.5,30062.939803982656,9352
14.0,29933.82574034593,8389
14.5,27652.706607445638,7141
15.0,24833.227583407344,6276
15.5,24905.007996945256,7296
16.0,24136.351163758234,5677
16.5,22700.305750688756,4002
17.0,22951.199384943953,3984
17.5,21864.84388748704,3040
18.0,22853.12196834555,4147
18.5,22015.20784091714,3780
19.0,21735.710907512796,3517
19.5,21412.288849304365,2817
20.0,22524.225691079806,3130
20.5,22554.591880737156,3843
21.0,22508.120455481352,2370
21.5,22076.533765792068,2560
22.0,22123.84047336597,1869
22.5,20730.352666349867,1496
23.0,20832.08856539871,1317
23.5,22088.130418472734,1247
24.0,21973.148884387956,1038
24.5,21088.150905235096,983
25.0,23526.682337145274,952
25.5,22583.850236001406,1493
26.0,22090.779279884136,1494
26.5,21729.954647231716,1072
27.0,21156.855751834104,997
27.5,22178.643673228555,865
28.0,21946.362724439474,456
28.5,18924.6030530396,399
29.0,19531.300103586214,428
29.5,17519.929782268093,608
30.0,18795.79090496044,503
30.5,19447.746485137326,509
31.0,19482.816688670733,287
31.5,19719.99045724865,333
32.0,21851.762309323516,506
32.5,21371.716218416725,287
33.0,21845.47683808411,365
33.5,22929.695072035174,398
34.0,25044.27490924181,708
34.5,26534.989284125295,854
35.0,25080.08651023868,636
35.5,25385.101088946554,464
36.0,25994.165313298654,965
36.5,25192.897605936872,1017
37.0,24247.650561592633,1765
37.5,22378.373862081236,581
38.0,19730.477042994415,376
38.5,19133.131213256096,287
39.0,18772.58839598741,143
39.5,19325.401476951163,258
40.0,18447.35921165943,281
40.5,18561.229022765747,181
41.0,18721.041666662964,27
41.5,18713.58232322165,97
42.0,18567.29140625,80
42.5,18202.17981421374,131
43.0,17584.238776416434,213
43.5,17803.66495028352,176
44.0,18381.67590861848,184
44.5,18998.29257397234,141
45.0,18827.7658750044,250
45.5,18096.698471517426,132
46.0,16822.10979352381,105
46.5,17061.01655718409,44
47.0,16718.993011875325,77
47.5,16884.545364736045,86
48.0,17820.980231584286,70
48.5,16641.066705537098,62
49.0,15405.90739700291,275
49.5,16603.211699690244,41
50.0,17242.867110389474,38
50.5,18174.977013225,52
51.0,17779.83873250345,29
51.5,16447.813127792855,42
52.0,16199.797268154543,77
52.5,15912.841468224038,104
53.0,14859.631041442373,59
53.5,14510.89232447143,77
54.0,17712.953450503705,27
54.5,15343.525020213794,29
55.0,15615.855646313636,22
