distance_group,HousePrice,Weight
0.5,36555.39341059057,47399
1.0,34251.83863003186,84800
1.5,34654.070343137944,116861
2.0,34246.24772094232,131429
2.5,33442.34328003627,137731
3.0,33750.95376368557,111972
3.5,29060.866968197384,102518
4.0,29171.845733833903,82048
4.5,30217.57716968908,63811
5.0,31172.38758993263,51265
5.5,28800.874647545057,46467
6.0,26469.65464386247,43502
6.5,23481.425579338193,31537
7.0,21748.277113258937,23271
7.5,20442.28026763089,21687
8.0,18727.91498202948,20838
8.5,17860.634590216465,16357
9.0,17206.457563534877,14103
9.5,18075.692668931963,11992
10.0,15952.431154728434,10456
10.5,17616.224147088422,8715
11.0,15540.710694257417,7355
11.5,13677.301159245446,6236
12.0,13523.180041780704,5670
12.5,13385.11123923787,4444
13.0,15938.46785936087,3887
13.5,11564.982657028148,3368
14.0,17144.913125896914,4307
14.5,12743.384953914216,3405
15.0,13193.587668602193,4194
15.5,13167.53339157341,3757
16.0,11923.205371830216,2118
16.5,10871.177403809732,1613
17.0,9660.793096899086,2953
17.5,10311.48069933737,2882
18.0,11181.252643377116,3225
18.5,12074.727961105913,3450
19.0,12654.108214146901,2162
19.5,14351.966327939976,1691
20.0,11892.677111433211,1900
20.5,12514.311299903118,1540
21.0,12513.424990951564,1759
21.5,14181.585576737056,1298
22.0,17917.02693218953,1413
22.5,15087.74570800625,1200
23.0,13259.190547001299,616
23.5,17017.95469803186,835
24.0,19681.25473535,1394
24.5,16163.83401819394,1155
25.0,20635.560844924268,1191
25.5,20744.577465479062,1323
26.0,19970.15127044193,1171
26.5,17684.92009784883,899
27.0,19798.1486628139,921
27.5,11516.875877121996,491
28.0,9429.355491722354,85
28.5,9776.180216780915,131
29.0,12304.231101793466,199
29.5,10507.62310737699,339
30.0,9356.105661107576,66
30.5,10184.696624760938,64
31.0,8096.001795158824,34
31.5,8939.764177814459,83
32.0,21887.996379565855,41
32.5,15809.523058580799,125
33.0,10940.419264582693,52
33.5,15612.416264957446,47
34.0,10503.309866227273,33
34.5,10299.394398090908,22
35.0,14293.231491814284,21
35.5,13225.599528008335,12
36.5,13967.537207049998,10
37.0,9699.50345702,50
37.5,10790.027321377864,131
38.0,9981.775302413547,155
38.5,9941.600957985715,63
39.0,12102.662109382607,46
39.5,11620.276034011764,85
40.0,10056.561874992,25
40.5,9528.651652016668,12
41.0,10346.671950123076,13
42.5,10089.32901279091,11
43.0,9832.311523433333,3
43.5,9729.0058594,1
44.0,9735.8056641,3
44.5,9739.074009485714,14
45.0,9731.670898425,4
46.5,8752.5883789,2
48.5,9774.107421866667,3
49.0,9832.295010654545,11
49.5,9476.9569091875,8
50.0,10083.5966797,1
50.5,14547.628145542107,95
51.0,12341.516438783334,6
52.0,9804.896484375,4
52.5,10701.223761284211,19
53.0,9805.1967773375,24
53.5,9436.46679685,4
54.0,8861.166232644444,9
54.5,8523.473599179311,29
55.0,8621.918513220353,113
55.5,8521.498896086956,23
56.0,8637.604806503448,87
56.5,9169.267903646154,39
57.0,9566.065133748485,33
57.5,9202.823079416667,18
58.0,9256.527099633333,12
58.5,9324.597182766667,33
59.0,9587.49330357143,7
59.5,9288.79017857143,7
60.0,9626.60039062,5
60.5,8503.09399415,4
61.0,9607.0341797,2
61.5,9222.453776066666,6
62.0,9547.91074216,5
62.5,9610.953125,1
63.5,8443.074001722222,9
64.0,8443.0126953,7
64.5,8901.8862304875,8
65.0,9366.65307615,8
65.5,9036.82796225,6
66.0,8929.490494793334,15
66.5,8486.072753875,4
68.5,8464.312255858333,12
69.5,8473.890625,2
74.0,8496.6005859,1
74.5,8463.140407988889,9
