distance_group,HousePrice,Weight
0.5,67466.19775911572,63364
1.0,66083.52521073111,148797
1.5,62888.283773999436,199702
2.0,61220.1602656033,216196
2.5,59263.79584748341,189470
3.0,54930.24146983499,142971
3.5,54687.229481537346,111679
4.0,51627.20620729913,97597
4.5,49124.754707058695,83091
5.0,47193.125839311455,70012
5.5,44534.41607961915,58355
6.0,42922.080649474185,51581
6.5,39233.037434399586,49257
7.0,38272.036658036166,40747
7.5,36709.65342591732,39865
8.0,33406.2173910057,34828
8.5,32565.005252507013,27163
9.0,30288.821227486354,26154
9.5,31279.544174579547,21566
10.0,31021.477948319975,23165
10.5,32327.134108192895,11977
11.0,29465.364885584797,13473
11.5,28531.860732411267,12726
12.0,26635.06685901363,10146
12.5,26347.64092560823,8492
13.0,23004.137342813985,7951
13.5,21329.677184054737,5824
14.0,22263.960204097446,6731
14.5,20952.58301477852,5745
15.0,20168.399845432956,6366
15.5,19803.185843064653,5582
16.0,20448.513695569432,3998
16.5,19786.082101079242,2741
17.0,11111.944427072931,4374
17.5,17948.322623387554,1141
18.0,19848.638218168107,1737
18.5,18236.55782430522,1820
19.0,18604.92093518148,2073
19.5,17901.870937813368,2768
20.0,17544.686403270207,2430
20.5,17247.152902977276,2099
21.0,17390.926324947162,1304
21.5,17970.650059393683,855
22.0,18203.94363406627,839
22.5,18635.163961277845,492
23.0,19501.105914395775,355
23.5,17014.74406784472,161
24.0,18341.189840563587,184
24.5,18265.418842518422,152
25.0,17878.13418135983,117
25.5,17270.96653132193,114
26.0,17549.3541608375,56
26.5,17167.72874190366,82
27.0,17249.489565234257,108
27.5,17341.6118111543,186
28.0,17281.349461288937,244
28.5,17316.150728147004,217
29.0,17886.078337087372,198
29.5,18343.152617171,200
30.0,18032.234336643454,382
30.5,17018.396931199528,424
31.0,17037.062021020953,210
31.5,16398.397771666667,66
32.0,17694.148624502126,47
32.5,17371.728573920896,67
33.0,17163.778900589856,69
33.5,19708.218308990323,31
34.0,15409.34172176923,13
34.5,17166.392937926314,19
35.0,17463.777923584374,32
35.5,16046.607060192593,27
36.0,35853.23027348,5
36.5,15972.01757812,5
37.0,15243.647135433333,3
37.5,22048.260416666668,6
38.5,20212.815104183333,6
39.0,20490.817157449997,26
39.5,20726.417851091566,83
40.0,20812.300390626668,75
40.5,22802.7985382125,128
41.0,22715.004400017977,178
41.5,22401.36878347257,175
42.0,20464.90587269091,176
42.5,19871.829556290075,131
43.0,21082.8051729193,171
43.5,18961.504740396354,192
44.0,17181.266814235998,225
44.5,16029.27980605603,257
45.0,16044.118574157652,281
45.5,16284.53038083024,291
46.0,17023.090161868335,660
46.5,16465.41186524125,320
47.0,15661.518575245262,190
47.5,15710.591796870493,61
48.0,19470.896640611998,100
48.5,15802.148902538094,42
49.0,15416.149262524137,58
49.5,15671.78805442258,31
50.0,15579.071809886667,30
50.5,15414.828531899999,12
51.0,15204.578398448,25
51.5,14118.291532617648,17
52.0,13438.5966797,1
53.0,17048.25,2
62.5,13247.183314714286,7
63.0,12911.769362879311,29
63.5,12717.491292310418,48
64.0,12453.314993990769,65
64.5,13012.261640628,25
