distance_group,HousePrice,Weight
0.5,57062.92331463882,57770
1.0,55410.668656315625,118648
1.5,56590.23369217059,181589
2.0,56112.10380848052,198617
2.5,55786.10399479251,196651
3.0,54479.36122686571,160257
3.5,54798.29761664995,122905
4.0,55664.07117615001,94557
4.5,54561.82072921474,56459
5.0,59114.26024941973,37323
5.5,54461.315194395815,31676
6.0,51837.0270440617,26877
6.5,52072.015724274905,21602
7.0,50504.246324359374,12196
7.5,50338.00414984565,10239
8.0,53536.92527440726,7495
8.5,45196.01039101884,3148
9.0,50261.523137337936,3377
9.5,53584.26998862574,1422
10.0,45908.33346103975,1142
10.5,45875.49654477017,1009
11.0,40489.57673654895,1048
11.5,47074.95945700725,1186
12.0,43203.15146265254,849
12.5,34883.042378001235,324
13.0,37955.5516767253,253
13.5,43611.648377121644,97
14.0,41886.994977655355,56
14.5,45822.3520507875,8
15.0,48439.776367225,8
15.5,42929.081982460004,40
16.0,48067.1518458902,51
16.5,43635.505859375,4
17.0,50559.7148438,1
17.5,32658.251446792594,27
18.0,37719.004306266266,83
19.0,46637.82308441885,260
20.5,60516.02692517857,14
21.0,31737.243210590477,21
22.5,44002.1015625,3
23.0,67477.9609375,8
24.5,37434.679101589994,10
25.0,30539.697753875,4
25.5,33860.3109375,5
26.0,40675.955707479996,180
26.5,43548.9332933,26
28.0,43948.1601562,2
30.0,73020.2734375,8
