distance_group,HousePrice,Weight
0.5,19074.401398528,46097
1.0,19846.379520655053,93093
1.5,18158.388638373446,117792
2.0,17479.17212949432,127210
2.5,17195.85772830703,127695
3.0,16306.808604407157,118042
3.5,15451.229356352327,86766
4.0,14628.73290912097,71963
4.5,14673.320658505854,65729
5.0,14990.967548056533,46144
5.5,14900.144116955285,34807
6.0,14185.56664485577,30954
6.5,14856.870704773193,25878
7.0,13941.785149005254,19751
7.5,13891.58388090312,20995
8.0,13745.662986676609,15313
8.5,14246.831110157715,12971
9.0,12612.597304607185,8323
9.5,12458.094672750138,7591
10.0,12428.957882464936,7298
10.5,13510.329091628319,7663
11.0,12304.257609482385,6159
11.5,11751.720373851775,5437
12.0,10578.628088094109,6212
12.5,10543.575050268577,7571
13.0,9862.42280372209,5555
13.5,9817.130611499664,3271
14.0,9964.23239562228,2841
14.5,9618.508842149104,3741
15.0,10238.66284025534,3802
15.5,9241.84597264785,3511
16.0,9351.604703361107,2584
16.5,9866.396970701084,3505
17.0,9140.648911953307,3628
17.5,9044.593748231471,3864
18.0,8559.034049860093,2398
18.5,9055.635130034927,2342
19.0,8742.1570541768,1556
19.5,8644.76694138556,1115
20.0,8555.511705487146,1657
20.5,8170.584945056316,1314
21.0,8096.008345794425,1722
21.5,9664.751426540315,1399
22.0,9352.608691686888,1884
22.5,8038.616981175572,962
23.0,8359.171609952751,927
23.5,8148.8600299341415,495
24.0,8440.638579673192,470
24.5,8612.334892753846,845
25.0,8080.861983774528,636
25.5,8021.293194418587,608
26.0,7913.675404605766,503
26.5,7969.609420939024,287
27.0,8188.935146843318,434
27.5,8315.593318608253,206
28.0,8536.451217965036,286
28.5,8584.912565588236,323
29.0,7641.765517497628,253
29.5,6733.410575916023,337
30.0,7603.486856067562,595
30.5,7341.036938223188,345
31.0,8373.021898946541,159
31.5,8156.2855329472395,326
32.0,6956.9713868377485,151
32.5,7841.840702446552,58
33.0,8170.421364735484,186
33.5,7312.336579969474,95
34.0,7058.325918042857,126
34.5,6828.606672491666,72
35.0,4664.145154431776,107
35.5,3683.7356533147063,136
36.0,4569.864751183756,197
36.5,4372.306640552381,168
37.0,7700.710262035001,60
37.5,8290.763991364198,81
38.0,5507.775272764368,87
38.5,4894.86742959125,80
39.0,7840.4091488553195,94
39.5,9003.724923543426,251
40.0,7979.930469432222,90
40.5,3537.7798491884614,26
41.0,6060.440681280916,131
41.5,6354.700124393855,179
42.0,7916.47840650303,99
42.5,7049.484959242245,187
43.0,7132.990167320422,142
43.5,7497.365260718181,88
44.0,9310.090547151638,122
44.5,7495.383005301869,107
45.0,7513.837690875758,66
45.5,7200.0016043542855,35
46.0,6093.477254233333,3
46.5,6214.155920943478,23
47.0,5520.162719728572,7
47.5,7951.540012528696,115
48.0,4566.726582833334,6
48.5,3486.690918,1
49.0,5462.953036209091,11
49.5,5383.500671379999,60
50.0,8488.848084770832,96
50.5,7230.946872511865,59
51.0,4238.8727117436365,55
51.5,4666.431510426667,30
52.0,6709.942170508696,115
52.5,9248.315970285714,28
53.0,4937.331612742857,7
53.5,9965.73632815,2
54.0,9951.5432617,5
54.5,8840.736367196001,25
55.0,8405.014907845312,64
55.5,8868.984418749584,240
56.5,4317.9519043,1
57.0,4222.3485107,2
57.5,7371.866016594737,57
58.0,7082.496488146154,13
58.5,4311.1567993,4
59.0,6826.409068088571,35
59.5,1648.0,10
60.5,6138.676899580645,31
61.0,9192.0200195,1
62.0,9234.22474887143,7
63.0,2562.4084167375,8
63.5,1648.0,3
64.0,1648.0,2
64.5,1648.0,1
65.5,1648.0,10
66.5,2628.1760986599998,5
67.0,6549.6918945,1
68.0,7044.138834599999,3
