distance_group,HousePrice,Weight
1,15528.978291863703,21643
2,15957.365566203116,65100
3,16902.517233012753,79755
4,17486.84918356813,77148
5,17245.321305381465,64692
6,18395.594015330913,55889
7,19344.065473000413,52330
8,19210.44397503735,47007
9,19476.162559024357,43303
10,20026.836996325324,39187
11,19968.10942045594,36586
12,18968.34066002726,30573
13,19055.444011604566,29047
14,19538.739791685817,26571
15,19242.55760937529,25817
16,19057.477762586826,23258
17,18325.391413809637,23432
18,17736.34129093238,20154
19,17380.59856689862,16475
20,18342.95306563997,17447
21,17262.982206421402,15728
22,17539.44746495577,14389
23,17329.629173284164,14769
24,16490.742793228463,12543
25,16116.467555326732,9745
26,16086.04413593438,9119
27,15371.464432930252,8598
28,15610.072834596316,7679
29,16279.96205338211,6093
30,16000.697131038776,5823
31,16001.563190020344,4871
32,16019.102011239813,4343
33,15645.354326479062,4661
34,15212.052874789097,3797
35,14537.133443160956,4021
36,14347.062753219192,3840
37,14245.869884526555,3777
38,14243.569270621732,3589
39,13881.571809101186,3288
40,13920.240270629385,3631
41,13674.375170031837,3719
42,13663.943584712897,2846
43,13400.612756723222,2627
44,13715.427613026435,2909
45,14128.246638096585,2547
46,13833.456038386917,1957
47,13016.106020088448,1939
48,13729.962268798025,1570
49,13680.433987167651,1626
50,14003.36367603093,1539
51,13879.071498410343,1402
52,13469.908538748856,1398
53,13080.73569381653,1706
54,13588.63000378916,1633
55,13247.666012210697,1926
56,13339.703370487403,1937
57,13760.862644662135,2332
58,13881.395794990895,2317
59,13218.058591774172,2505
60,13671.215612227246,2459
61,13512.98629762691,2133
62,13340.302448921882,1595
63,13772.539940136016,1255
64,13771.845579661996,1192
65,14313.886717253852,1142
66,14594.616034263658,930
67,14299.34161200625,832
68,14306.612491849022,767
69,13948.23645977408,841
70,13979.825476083224,1073
71,13626.397251789758,1123
72,13702.699813725278,1167
73,13767.0895053784,912
74,13851.98048526861,532
75,13073.918669869017,468
76,12337.094580134139,372
77,13235.566255610556,341
78,13136.958806937932,377
79,12849.903815133333,504
80,12649.97556271321,757
81,12611.002882813518,614
82,12431.930687422779,439
83,12750.027729397452,314
84,12671.335141847841,278
85,12556.350534331707,246
86,12367.34865142287,223
87,12414.53370934449,245
88,12322.920156859822,224
89,12236.786940072865,199
90,12170.517584014458,166
91,11968.515519328357,134
92,11833.767607722222,99
93,12311.624035250807,124
94,12236.05579020625,96
95,12388.392776492969,128
96,11995.662862719048,105
97,12310.174990338543,96
98,11865.117664231082,74
99,11530.630380298113,53
100,11884.716833048149,54
101,12055.530512794117,51
102,12976.328863095348,43
103,12590.920386909524,42
104,11743.258349605001,40
105,12072.60209803871,31
106,12612.95886947647,17
107,12138.884162452941,17
108,12634.856236047619,21
109,12865.64315795625,16
110,13050.993432615,20
111,12249.787423264284,14
112,12404.379882823076,13
113,13400.631723253846,13
114,12571.526204409523,21
115,12000.033640889656,29
116,11594.475556624999,20
117,12464.900021121623,37
118,12842.995133466668,30
119,13668.625218879311,29
120,12549.408072913333,15
121,12554.27851563,10
122,11180.219262685,20
123,11915.0607910125,16
124,12421.288330083335,6
125,12870.785644516667,6
127,11747.608968100001,6
128,12274.458821633334,3
129,12194.3754883,2
130,8821.3725586,3
131,13499.434570333333,3
132,10689.4135742,1
133,14412.4091797,1
134,12053.7197266,2
136,12870.5449219,1
137,13256.9916992,2
138,12904.84375,1
141,14055.5029297,1
143,14670.6152344,1
148,13667.8974609,2
150,14534.8359375,1
151,12803.6396484,1
157,12096.2885742,1
160,9330.4423828,1
167,14672.8828125,1
