distance_group,HousePrice,Weight
1,32831.48829029434,27804
2,33999.17651159252,82101
3,33741.093423638034,113599
4,33890.94909735476,110887
5,35405.74344807875,89115
6,33613.17062385049,79473
7,31556.939283126707,73513
8,30575.90842359172,70313
9,30708.80730925091,58671
10,31302.142459291885,48462
11,30698.924974739657,41630
12,29119.80950392582,39381
13,28942.926338397356,34396
14,28322.029486802647,31759
15,28037.363910616867,29214
16,27503.95472245759,25301
17,27303.524564997417,22060
18,26624.674768057062,19649
19,26163.76748792598,17821
20,26667.45603416577,15290
21,25771.74506868172,14977
22,25235.22876729873,13310
23,24136.34027510112,12224
24,24065.14963191521,11013
25,24157.524328427877,9789
26,22460.548510432192,9148
27,21398.99195955438,8472
28,20783.174787424166,8644
29,20798.449612484244,8605
30,20827.421717848832,8734
31,20029.10239968344,8110
32,18764.72474136898,7898
33,18878.895274916555,7600
34,17963.100385707025,8300
35,18115.442206839547,7052
36,17570.005579862107,6191
37,17428.356766754045,5745
38,17374.714846835497,5761
39,16286.402642459545,5035
40,15781.38655768162,4630
41,15570.683774949724,4356
42,15271.394850352224,3778
43,14522.049030024313,3381
44,14310.749506851611,3261
45,14322.209542829654,3079
46,14703.654115909721,2736
47,14899.355636870958,2338
48,15322.747931436188,2172
49,15876.899711021459,1701
50,15593.139227119196,1839
51,16203.978834984797,1743
52,16445.654402773915,1564
53,15955.89858920619,1664
54,16541.069842678065,1746
55,15727.27570239741,1776
56,15409.390443535081,1622
57,15264.581776342528,1519
58,14946.85384014188,1619
59,14283.3065560471,1501
60,14039.63918091147,1482
61,14167.74880093644,1523
62,13905.312917321675,1624
63,13808.953415463282,1950
64,13219.656478880574,1920
65,13590.40172378719,1702
66,13169.359325665739,1544
67,13551.664618946368,1404
68,12875.374315452238,1229
69,12711.866785754624,1168
70,12184.244949091188,976
71,12027.2517400575,880
72,12881.011192313024,668
73,13905.323243125385,520
74,14464.596036612122,429
75,14198.197709517553,319
76,13538.612750714425,312
77,12862.00046438532,327
78,14054.827480923735,257
79,13043.062612209804,255
80,14023.932367560114,178
81,11848.776467436424,151
82,12016.91127696762,105
83,13882.772545681819,121
84,12851.802492361738,115
85,12134.643262909756,82
86,13329.391264814942,87
87,14182.151608231645,79
88,13458.540461756716,67
89,11017.015278767274,55
90,12330.57992151132,53
91,10659.27196437966,59
92,13286.3809375,50
93,10929.4081420925,40
94,10166.354462599998,33
95,10552.49101201852,27
96,9536.54501341875,16
97,10346.899265469565,23
98,13409.175575657895,19
99,12794.55682843846,13
100,12314.09023437,10
101,14350.075642904167,24
102,14981.122443711765,17
103,14745.443739150001,18
104,14623.379638674998,24
105,14804.8746094,10
106,10960.2942383,5
107,13209.7407226625,8
108,10771.865451388889,9
109,11659.017400563636,11
110,12791.9553222875,8
111,11056.950106554546,11
112,11963.54628906,5
114,12264.52490235,4
115,9045.8984375,5
116,8520.60731338889,9
117,9099.64655412857,14
118,8858.347079213638,22
119,9067.56256105625,16
120,8721.120256714286,7
121,9019.810407385714,7
122,10539.871961811112,9
123,9694.76503906,10
124,8851.4420573,6
125,11269.0830078,4
126,9133.65234375,4
127,8579.99140626,5
128,9849.277483257143,7
129,8489.60839845,2
130,8721.04179688,5
131,12078.777343783333,6
132,8929.09531248,5
133,9046.61035155,2
134,9589.7460938,1
135,9739.3476562,2
136,9262.5472005,3
138,8495.21875,2
141,9265.5273438,1
143,8522.1396484,1
