distance_group,HousePrice,Weight
1,3460.969077431109,5889
2,3398.5506944777594,10845
3,3764.974381810866,8991
4,3960.0134537973954,5452
5,4104.068747254095,4017
6,4288.92712535965,3197
7,4483.814328856784,2388
8,4455.751690212566,1138
9,3867.5354688261905,924
10,3646.9907556595695,418
11,3192.5107566464912,228
12,2930.246217133333,186
13,2575.339735802066,242
14,2588.653873775728,206
15,2667.1566781846154,195
16,2662.5483609382713,243
17,2682.0674662722045,313
18,2780.784990955279,322
19,2545.4898492532607,368
20,2635.7588152524904,261
21,2776.539354470204,245
22,2697.5416156497513,201
23,2427.1691982124403,209
24,2501.4091965093844,341
25,2468.0183516905618,445
26,2528.979736641237,388
27,2495.96932041487,269
28,2536.350446912222,360
29,2666.577122152723,404
30,2610.5708621261538,390
31,2452.3392100457972,345
32,2541.9850612988635,352
33,2721.9266209217253,313
34,2583.208677702454,326
35,2877.8971706734865,479
36,2672.7724303401537,391
37,2481.4343705633523,352
38,2464.4221099470133,385
39,2581.347318900815,368
40,2442.9907647695,200
41,2249.285860929091,110
42,2546.6232861007325,273
43,2417.2977173358568,251
44,2493.1527681247057,170
45,2599.663102033516,182
46,2296.0672840516854,89
47,2535.6069719289258,121
48,2641.1563321515723,159
49,2654.5294394512,125
50,2519.6586686647056,102
51,2661.354464224022,179
52,2565.4432752151515,132
53,2794.690752231707,123
54,2381.5716195953846,65
55,2568.763780374074,81
56,2568.6304065068703,131
57,2600.2877640088236,102
58,2470.260632961842,76
59,2479.223778261702,47
60,2484.2217892410254,39
61,2554.1465802899997,70
62,2500.37498425,62
63,2451.4097848951806,166
64,2577.2102870514705,204
65,2409.9179786632476,234
66,2559.6030320706373,361
67,2636.6445804087966,216
68,2639.381717358776,245
69,2745.024310602242,223
70,2771.6261685463637,220
71,2858.9525130372936,303
72,2806.7206637149607,254
73,2808.9601240557527,226
74,2846.1795792762887,291
75,2676.891639518293,164
76,2615.612364209091,121
77,2403.517671233051,118
78,2421.5064004445944,74
79,2337.1027898336956,92
80,2404.0112924119403,67
81,2421.2589351557376,61
82,2112.14920070084,119
83,2027.0453431258927,224
84,2096.822704691623,191
85,2215.186396847685,216
86,2221.8959564216666,120
87,2209.2611819886524,141
88,2164.4993634380367,163
89,2275.797379066667,147
90,2483.554241943,100
91,2610.8765768849316,73
92,2570.871277924561,57
93,2580.404406982353,51
94,2621.7732112292683,41
95,2632.7386819652174,46
96,2504.635104430612,49
97,2408.389939257353,68
98,2620.4231733886363,44
99,2638.553994564706,34
100,2932.497715346591,88
101,2610.8049330940476,84
102,2672.5083096275366,69
103,2912.084255638889,72
104,2727.309975901075,93
105,2744.2692029172413,58
106,2647.8275579580645,31
107,2469.4204767363635,33
108,2483.093891602,50
109,2415.6105267086955,46
110,2520.2037197025643,39
111,2329.952475337288,59
112,2237.6643484452056,73
113,2287.1001480365076,63
114,2268.703558792857,112
115,2386.9300755089284,56
116,2501.659680685417,96
117,2459.45504576747,83
118,2543.7943987228573,35
119,3039.2417070903225,31
120,2654.668970680519,77
121,2665.963641140741,108
122,2634.831298833333,87
123,2817.912804851376,109
124,2474.934666682105,95
125,2644.611424037755,98
126,2631.909702845238,84
127,2610.271265933684,95
128,2736.6183074444443,63
129,2683.643242188,50
130,2672.155506718889,90
131,2625.7344803726496,117
132,2466.929355719658,117
133,2437.7796111683906,174
134,2417.234816530851,188
135,2432.094499558772,114
136,2474.142528502439,123
137,2443.1078760290325,93
138,2443.3407410493505,77
139,2559.1028055799998,60
140,2505.5637673764704,34
141,2585.6843668666666,42
142,2388.6234130888893,18
143,2412.0591084324324,37
144,2528.563242192,25
145,2501.230419925,20
146,2538.9195454972223,36
147,2680.2226562454543,11
148,3039.483823937143,35
149,2926.468242037097,62
150,2946.509853701266,158
151,2917.7229017581003,179
152,2855.4004850244446,225
153,2978.4818431648146,108
154,2979.206968567568,74
155,2953.817068447945,73
156,2989.9066606045453,44
157,2891.733747214286,7
158,2573.4128992411765,17
159,2973.03427734,5
160,2752.081542966667,9
161,2475.521179225,8
162,2541.70927733,10
163,2548.8639119416666,12
164,2439.4138997222226,9
165,2469.9517483055556,18
166,2350.0475698615382,13
167,2651.69031576,15
168,2312.2195347285715,14
169,2868.458658851852,27
170,2407.37731934,5
171,2481.3354492285716,14
172,2438.9011711242424,33
173,2577.491487626667,15
174,2464.33876954,10
175,2600.7556355833335,12
176,2644.0195821083335,12
177,2585.044509161905,42
178,2753.0411685879517,83
179,2581.136491576389,72
180,2576.679771532609,138
181,2879.927535002222,90
182,2713.9381357875,48
183,2937.1828654,60
184,2851.5996237382356,34
185,2495.411926275,8
186,2515.90798339,10
187,2664.228240965625,32
188,2780.2360568583335,36
189,2805.9178634313726,51
190,2650.730426402041,49
191,2912.9862792911113,45
192,2907.725122903448,29
193,2824.828302552273,44
194,3187.27087401875,16
195,3078.10458985,10
196,2902.879657453846,13
197,2928.0284946928573,14
