distance_group,HousePrice,Weight
1,52453.202634934954,33952
2,55898.9569904531,104033
3,55184.67208689733,148425
4,54510.6686933592,135639
5,56372.60992710735,114349
6,55707.38208400163,106610
7,57257.20176912849,86457
8,57362.45668560714,72033
9,56882.92530338242,53971
10,56647.85881365478,48883
11,57521.031548128434,37248
12,57306.567390780074,29120
13,57210.80429882758,28808
14,58780.508912031524,26744
15,57492.588713949284,24278
16,57400.37178557771,22558
17,56524.17296415288,19422
18,55037.20215213647,19750
19,57173.102434318986,18529
20,56898.80275893211,16766
21,56136.088166751,16396
22,55079.55943870022,15478
23,53986.5297344181,13704
24,53533.268121325505,12965
25,52657.77564259883,11782
26,53252.69859012315,10747
27,52471.22013449014,10555
28,51471.41752254556,9481
29,50459.04789839455,8829
30,50962.86616152315,7984
31,50194.446828023814,7168
32,49967.90081321982,6207
33,50683.096973355394,5874
34,51031.0705726522,5398
35,49253.71586508416,5283
36,48011.3429123163,4963
37,47318.19248730162,4774
38,46537.78819971023,4987
39,47796.44088344272,4548
40,46859.74885237865,3785
41,47924.58408601426,3359
42,46676.98579195964,2904
43,45233.93069025392,2871
44,46400.25885766255,2534
45,46454.57162409363,2150
46,47912.395172559955,1873
47,48484.4565449944,1928
48,48057.486858178105,1695
49,45887.60309806881,1523
50,48326.88845028987,1234
51,46590.518350817714,1050
52,45977.27275380413,969
53,46751.17935221213,833
54,47846.16097116607,731
55,46167.41541466006,611
56,46749.0880494756,541
57,43170.210945026585,519
58,45456.58339190125,478
59,42546.61612664526,475
60,42220.38911758949,390
61,43806.31462482775,364
62,45512.536742342956,298
63,41625.06150987812,288
64,41652.69698933024,205
65,42356.262104912574,175
66,44788.635446646054,152
67,45113.7214940595,121
68,42145.63878677059,119
69,40066.28167459239,92
70,39519.75221353809,105
71,39214.41336945376,93
72,39784.988671871426,70
73,37986.103936888234,51
74,42342.05647078478,46
75,44934.39951172,20
76,42969.87580820345,29
77,34434.07395241364,22
78,39560.00761719,20
79,50357.00251115714,7
80,43269.337002836364,11
81,43533.6513672,12
82,36610.60507814,10
83,36352.58671874,10
84,45680.3022461,4
85,42075.8823242,4
86,29437.324869766668,3
87,33746.74492186,5
88,39216.0625,4
89,38875.3330078,4
90,40427.21484375,4
91,36526.75156248,15
92,43020.6517857,7
93,46326.1703125,5
94,48654.5984375,5
95,49108.90820315,2
96,43878.8203125,1
106,30360.1503906,1
