NNHI,HousePrice,Weight
1,54966.882602248676,349955
2,61884.42201177286,193306
3,64990.65438746544,134728
4,68993.56122728292,110391
5,70379.69923132211,79339
6,69249.32704592064,63147
7,68306.98513550003,59622
8,69778.4722902784,50243
9,72611.4466742859,38179
10,69770.69781055677,38871
11,70471.88142564365,36920
12,70227.79600970143,33630
13,71557.27416884789,29550
14,67035.04284259673,30153
15,68375.28176381957,29298
16,67351.98813384176,28189
17,68765.99184241849,27215
18,67362.94504000647,24233
19,66465.78963308346,24068
20,66753.48931190981,22536
21,66132.75317919406,21775
22,63236.52503302467,22994
23,63149.31833617346,22939
24,63728.67398010828,21087
25,66389.70141358217,19706
26,63003.530193137674,20504
27,67762.78396554147,19289
28,63598.51912763066,20006
29,64019.680255291634,18589
30,63392.16618421534,18207
31,65760.25854078113,17334
32,61960.271712499176,17721
33,62226.41983009245,18207
34,61534.93445163401,17295
35,61316.755301090765,16273
36,59735.69908106531,17817
37,59884.12805089067,16382
38,60908.56791952579,15260
39,62772.23634595983,13798
40,61850.54244445825,14739
41,59980.61915687395,15434
42,64279.81350501892,13679
43,58935.70015098857,14819
44,58882.25115224824,14300
45,57975.132226065536,14549
46,59231.50013362149,13810
47,58129.83844752303,14003
48,59731.84627462688,13232
49,59445.826197299284,12276
50,61238.04217181319,11978
51,57633.28483600805,11616
52,60234.67658456285,12296
53,60879.62867770359,10455
54,59312.262877279165,10903
55,57842.88682319502,11177
56,58535.5155629961,10773
57,57316.2156515081,10514
58,57345.68308494682,10488
59,56470.06121145993,9956
60,53510.60702048087,10247
61,54735.63091358807,9540
62,52707.957708077396,9526
63,53864.192187777604,9864
64,53146.24279116228,9763
65,53197.1645128398,8481
66,54468.29478641353,6866
67,55009.87266487963,6994
68,54405.61424536081,7059
69,53461.8139728831,7179
70,51133.17190786658,7755
71,54198.17480428367,6784
72,56075.17725840799,5488
73,54987.13588831236,5718
74,55805.40047398204,5204
75,54703.37813811457,5555
76,55339.40895528513,4982
77,54566.426613590535,4595
78,54346.306726970426,4058
79,55719.524466273615,4373
80,51702.23176111028,4466
81,57535.39425636435,4423
82,53473.38494874685,3797
83,53766.141088846656,3665
84,52531.978124483685,3408
85,57025.12381133939,3712
86,59724.8766681998,3060
87,50612.06546747023,3877
88,57572.37835540677,3367
89,54014.495780150035,3124
90,54459.553824987284,3074
91,56883.77747345414,2584
92,56122.62840818891,2796
93,56150.42274893158,2356
94,56358.382439169094,2349
95,57851.262221557714,2138
96,60457.96146302016,1875
97,53658.44710242062,2129
98,54299.79793937341,2351
99,52952.14872478227,1992
100,49448.791553349096,2147
101,53158.08801786901,2020
102,53948.08100756887,1285
103,55717.92991129843,1337
104,56943.11678460878,1242
105,63455.24998781364,1202
106,57027.122249752276,1452
107,64146.38653177477,1593
108,54742.98736836641,1417
109,64316.87428697196,2860
