NNHI,HousePrice,Weight
1,15857.220051368698,199664
2,16150.956420332428,93840
3,15923.722688593953,79789
4,18330.83823265336,46570
5,18951.391926218897,39799
6,18944.545158060508,43815
7,18917.263191688275,29696
8,20123.026503782854,24322
9,18015.30078902207,19476
10,19380.487858802768,14973
11,20392.45145046767,16341
12,19368.372355267275,15880
13,18716.24740198202,13570
14,19557.395591589084,15923
15,19090.342159373853,15773
16,18809.063942984605,16653
17,20154.459866718833,17444
18,19183.33882180199,14513
19,19706.232864210288,13768
20,19958.980471420055,12252
21,19559.423901251095,13895
22,19442.216643552852,11901
23,20337.393643755542,9654
24,18988.650657718918,8658
25,18859.704017914977,9474
26,17298.19858222009,12259
27,17683.34408086384,11103
28,19388.401169367527,11450
29,17599.07385845337,9974
30,17191.868218843945,11059
31,17608.638988003342,9361
32,17326.38001645642,8931
33,18978.900211131207,8277
34,17239.049326435757,7755
35,16640.365280353944,9632
36,16806.485857982567,7451
37,15870.381169999675,5813
38,15262.60334269044,6307
39,16727.370355333398,3584
40,16719.04100222069,3606
41,15097.630533169704,3852
42,13715.081377837567,5135
43,14202.441322423507,4450
44,15524.41776056875,3504
45,16647.636058237764,2868
46,16697.0562098236,2911
47,17890.263959418913,1877
48,17220.338869357503,1899
49,17580.461647416345,2007
50,18343.10134554176,2337
51,17640.70791880754,1857
52,19066.465463715667,2438
53,19364.86024932724,1920
54,19307.74790924475,2228
55,16976.2551475221,1715
56,19403.358261215235,1982
57,18767.561517667596,1540
58,19253.62076286243,1911
59,18586.023597388143,1712
60,17882.711531789424,1976
61,17228.499005710182,1267
62,17965.772060663734,1569
63,18431.537691193713,1304
64,18455.05131100044,1599
65,16823.60916906858,1674
66,19552.030423402968,1921
67,18562.794103744644,1279
68,17692.252923693126,1222
69,18301.42341859963,1891
70,16835.806517134577,1718
71,18186.49283506519,1129
72,17344.977476752923,1130
73,17046.08082732122,1310
74,17663.564442660834,840
75,18780.98731850291,1237
76,17026.903144940035,1124
77,19735.311002571587,989
78,18981.941061062218,1858
79,19061.68702449869,917
80,17368.497699950556,1171
81,16423.928022530723,1481
82,17408.133750317225,1225
83,14797.760980937697,1268
