NNHI,HousePrice,Weight
1,25749.995096458788,243469
2,27136.082397199763,127304
3,30341.39589297776,86988
4,28454.82189099776,63942
5,32209.00887067963,41094
6,33822.94763147854,35040
7,33974.5008282036,29320
8,33546.911160218,26607
9,33918.949749489824,23265
10,34411.284202440926,19975
11,33295.4316412302,17595
12,35673.98739113619,14700
13,33373.07498320317,15930
14,32103.44395510881,16478
15,34169.232453219156,13752
16,32247.125567531562,13734
17,34134.47941936484,13865
18,30961.114070226795,14749
19,32495.68831342416,13044
20,31271.26010529961,12836
21,32083.898009597367,12267
22,31967.997766021996,11110
23,30565.387392104836,11684
24,32403.495677131803,11102
25,31371.459980418796,11186
26,31672.233275070146,10244
27,32447.5172722069,10173
28,32008.70310512712,10531
29,30917.613679873077,9914
30,32102.33738484631,10013
31,29921.619847775004,10389
32,31216.48376229194,10087
33,30587.48198197644,9113
34,32228.810304761657,8812
35,31673.09822370507,8346
36,32441.641676105948,7939
37,31499.751490307215,8065
38,31800.356878252882,7632
39,31247.763688169838,7785
40,30631.276576077806,7516
41,31592.56427790332,7237
42,29351.395542135753,7574
43,29289.05835924361,7450
44,28764.88085540097,8159
45,29288.868861375264,7726
46,27445.145212829506,7880
47,26861.905235861475,8366
48,27412.96036554459,7679
49,27986.6315990945,6985
50,29070.872614402757,6749
51,27920.81471999543,6522
52,27279.046709595463,6328
53,27665.299471084756,6417
54,26877.96122496597,6300
55,28408.24276919422,5847
56,28963.159099321747,4990
57,26961.25483130113,5678
58,29061.34898744798,4990
59,26249.819841461234,4865
60,26687.36519602945,4584
61,27852.777234427896,4169
62,29606.542577932694,4573
63,28292.787640395047,4179
64,26809.29806845741,4027
65,27965.884600696925,3545
66,26876.445508255016,3870
67,25483.62714188991,4162
68,25995.49895750666,3423
69,25946.73505026899,3496
70,24820.96165461063,3301
71,24813.069228524564,3143
72,23403.246374707593,3675
73,25199.331131770257,3261
74,24254.054385922474,3426
75,26844.066136857695,3210
76,25406.12099396128,2748
77,23866.283711190637,2991
78,26376.471502698365,2265
79,26080.065751104128,1840
80,25787.556148913307,2021
81,25883.2172667703,2236
82,27373.496753304047,1828
83,28347.759495436225,1659
84,26220.125858920932,1930
85,23880.10114030235,1661
86,25338.516164663015,1798
87,28784.79962739471,1588
88,25220.308226537854,1585
89,27723.9223424825,1080
90,31428.58939890834,1187
91,30837.747715615504,987
92,29658.903816929065,984
93,30843.385837198897,996
94,30146.50221997746,1047
95,28700.15453250414,918
96,24960.36973490764,1100
97,25959.64624507414,928
98,29630.632337421157,969
99,28105.58608295056,803
100,27701.013029010275,1664
101,33308.04676542425,1311
102,25318.226611514725,1046
103,27874.25847369815,702
