NNHI,HousePrice,Weight
1,3000.620569649269,22769
2,3356.199784290591,8120
3,3505.3246778424386,4847
4,3769.752677360842,3325
5,4067.7946402861885,2259
6,4064.4457231167185,1938
7,3489.424851658971,2079
8,3559.273707163804,2224
9,3661.1696280815777,2193
10,3765.895664692527,2034
11,3643.070138687377,2036
12,3558.210646523349,2317
13,3876.4766343038013,2052
14,3892.328045085774,2861
15,3170.4060387241316,1612
16,2716.200687079224,876
17,2648.8642009492805,556
18,2933.5888864700887,1013
19,2779.8776292470066,451
20,2812.0463792351416,424
21,3207.9786278605557,360
22,3326.6226436101188,168
23,3021.7205135492427,132
24,3474.0933085133333,60
25,3458.4243794064514,31
26,4381.71597974898,49
27,3157.449319775862,29
28,3480.254949395455,22
29,4228.813895092857,28
30,3588.3823174361114,36
