NNHI,HousePrice,Weight
1,14747.76404386373,201570
2,15481.528600651876,104908
3,16791.941374849706,77314
4,17054.445604618642,49730
5,17649.979255282273,45205
6,18245.417542829586,43940
7,17495.850749119938,38187
8,17281.85458658519,35074
9,16533.829369470794,32804
10,16312.566818521394,27987
11,15861.297386806014,28332
12,16466.754987599277,30266
13,16182.771753415436,24423
14,15513.687722086104,23092
15,15557.39405322347,22940
16,15522.067019068241,19740
17,15621.720555380805,19095
18,14702.615915972958,18452
19,15132.202566629872,15010
20,15263.199772892463,13640
21,15018.777382533792,11666
22,15865.07467985529,10803
23,15980.00451986546,10655
24,15245.332478261063,11519
25,15805.36175595857,12295
26,15812.52127419017,12136
27,15434.493358660366,10122
28,15019.209421873895,11411
29,16137.427161402016,11560
30,16392.888365458242,10635
31,15566.063254961877,11725
32,15676.707564081784,10397
33,15619.36369129665,10508
34,16184.605588590948,9577
35,16422.332792912068,9100
36,16141.95952972228,9717
37,16970.693717429338,9050
38,16487.409118243995,7519
39,16357.763304168791,8062
40,15933.042364730965,8248
41,15243.832889638416,8801
42,15379.792068615323,7153
43,14745.846248802469,6845
44,14943.243578442278,5180
45,14874.341316983347,5867
46,13810.683597704523,6104
47,14781.596486249406,4791
48,15510.542403532027,4134
49,15377.730528596088,5038
50,13001.369779045932,6257
51,15073.474716950112,4051
52,14943.248990264094,4275
53,15199.756782255794,3685
54,15814.714223194065,2865
55,15838.25394617838,3048
56,16197.550046545399,2890
57,16137.941625076264,2469
58,16842.596877777953,2794
59,16655.5886128116,3483
60,15229.148773376293,3497
61,14372.136910988509,3194
62,13674.358998517031,1961
63,15173.650300891288,1997
64,14738.696282054478,2234
65,11724.586512591926,322
66,16411.148428856734,1158
